file_id	input_path	n_cells_in	n_points_in	status	notes
KR12-20_bathymetry_dmo::20130106.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20130106.parquet	244	33660	ok	
KR12-20_bathymetry_dmo::20121218.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121218.parquet	5	37571	ok	
KR12-20_bathymetry_dmo::20121215.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121215.parquet	264	47537	ok	
KR12-20_bathymetry_dmo::20130107.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20130107.parquet	27	718	ok	
KR12-20_bathymetry_dmo::T20130107.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__T20130107.parquet	134	313116	ok	
KR12-20_bathymetry_dmo::20121220.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121220.parquet	261	251088	ok	
KR12-20_bathymetry_dmo::20121230.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121230.parquet	238	52105	ok	
KR12-20_bathymetry_dmo::20121222.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121222.parquet	79	1184366	ok	
KR12-20_bathymetry_dmo::T20121216.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__T20121216.parquet	1	503	ok	
KR12-20_bathymetry_dmo::T20121210.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__T20121210.parquet	28	21407	ok	
KR12-20_bathymetry_dmo::20130104.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20130104.parquet	357	475160	ok	
KR12-20_bathymetry_dmo::20121226.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121226.parquet	112	64295	ok	
KR12-20_bathymetry_dmo::20121217.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121217.parquet	462	460258	ok	
KR12-20_bathymetry_dmo::20121219.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121219.parquet	156	1818912	ok	
KR12-20_bathymetry_dmo::20121211.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121211.parquet	337	145885	ok	
KR12-20_bathymetry_dmo::20121213.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121213.parquet	1475	400443	ok	
KR12-20_bathymetry_dmo::T20121215.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__T20121215.parquet	426	397713	ok	
KR12-20_bathymetry_dmo::T20121211.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__T20121211.parquet	307	181552	ok	
KR12-20_bathymetry_dmo::20121221.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121221.parquet	336	1357445	ok	
KR12-20_bathymetry_dmo::20121212.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121212.parquet	1341	357746	ok	
KR12-20_bathymetry_dmo::20121227.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121227.parquet	28	4049	ok	
KR12-20_bathymetry_dmo::20121223.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121223.parquet	130	600374	ok	
KR12-20_bathymetry_dmo::20121228.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121228.parquet	1289	253707	ok	
KR12-20_bathymetry_dmo::20121216.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121216.parquet	300	1364245	ok	
KR12-20_bathymetry_dmo::20121229.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121229.parquet	671	75957	ok	
KR12-20_bathymetry_dmo::20121214.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20121214.parquet	1890	316255	ok	
KY09-01_leg1_bathymetry_dmo::20090225.dat	derived/file_cells_1min/KY09-01_leg1_bathymetry_dmo__20090225.parquet	70	42541	ok	
KY09-01_leg1_bathymetry_dmo::20090306.dat	derived/file_cells_1min/KY09-01_leg1_bathymetry_dmo__20090306.parquet	47	354905	ok	
KY09-01_leg1_bathymetry_dmo::20090302.dat	derived/file_cells_1min/KY09-01_leg1_bathymetry_dmo__20090302.parquet	453	461489	ok	
KY09-01_leg1_bathymetry_dmo::20090305.dat	derived/file_cells_1min/KY09-01_leg1_bathymetry_dmo__20090305.parquet	193	1067456	ok	
KY09-01_leg1_bathymetry_dmo::20090304.dat	derived/file_cells_1min/KY09-01_leg1_bathymetry_dmo__20090304.parquet	413	615060	ok	
